,predicate,object
1936,IN_REGION,15505
1937,IN_REGION,15603
1938,IN_COUNTRY,17019
1939,HAS_ROUTE,8877
1940,IN_REGION,15573
1941,HAS_ROUTE,9855
1942,IN_REGION,15514
1943,HAS_ROUTE,8739
1944,ON_CONTINENT,17252
1945,HAS_ROUTE,9696
1946,HAS_ROUTE,11603
1947,HAS_ROUTE,9856
1948,HAS_ROUTE,8695
1949,ON_CONTINENT,17249
1950,IN_REGION,16430
1951,ON_CONTINENT,17252
1952,HAS_ROUTE,9460
1953,IN_COUNTRY,17043
1954,IN_CITY,13273
1955,HAS_ROUTE,8645
1956,IN_COUNTRY,17148
1957,IN_COUNTRY,17018
1958,HAS_ROUTE,9459
1959,IN_COUNTRY,17053
1960,HAS_ROUTE,10207
1961,HAS_ROUTE,8720
1962,HAS_ROUTE,10145
1963,IN_CITY,14659
1964,HAS_ROUTE,8911
1965,HAS_ROUTE,8693
1966,IN_REGION,15707
1967,IN_COUNTRY,17112
1968,ON_CONTINENT,17252
1969,HAS_ROUTE,8722
1970,IN_COUNTRY,17044
1971,HAS_ROUTE,8655
1972,HAS_ROUTE,8651
1973,HAS_ROUTE,8855
1974,IN_CITY,14970
1975,HAS_ROUTE,9129
1976,HAS_ROUTE,8727
1977,HAS_ROUTE,8710
1978,HAS_ROUTE,8655
1979,HAS_ROUTE,9137
1980,ON_CONTINENT,17250
1981,HAS_ROUTE,8894
1982,HAS_ROUTE,9430
1983,HAS_ROUTE,8911
1984,HAS_ROUTE,8766
1985,HAS_ROUTE,8627
1986,IN_COUNTRY,17024
1987,IN_REGION,16101
1988,HAS_ROUTE,10307
1989,ON_CONTINENT,17253
1990,HAS_ROUTE,8634
1991,ON_CONTINENT,17251
1992,HAS_ROUTE,8644
1993,HAS_ROUTE,8720
1994,HAS_ROUTE,9093
1995,HAS_ROUTE,9145
1996,HAS_ROUTE,8664
1997,HAS_ROUTE,8640
1998,IN_REGION,16136
1999,HAS_ROUTE,8646
2000,HAS_ROUTE,10012
2001,HAS_ROUTE,8699
2002,IN_COUNTRY,17053
2003,HAS_ROUTE,8700
2004,HAS_ROUTE,8857
2005,IN_COUNTRY,17121
2006,ON_CONTINENT,17253
2007,HAS_ROUTE,8875
2008,IN_REGION,16976
2009,HAS_ROUTE,8772
2010,HAS_ROUTE,8944
2011,HAS_ROUTE,8762
2012,HAS_ROUTE,8946
2013,HAS_ROUTE,8690
2014,HAS_ROUTE,9107
2015,HAS_ROUTE,10197
2016,HAS_ROUTE,8901
2017,HAS_ROUTE,9188
2018,HAS_ROUTE,8842
2019,IN_CITY,13942
2020,IN_COUNTRY,17121
2021,IN_CITY,14605
2022,HAS_ROUTE,8832
2023,HAS_ROUTE,12129
2024,HAS_ROUTE,10205
2025,HAS_ROUTE,8963
2026,HAS_ROUTE,8905
2027,HAS_ROUTE,8739
2028,HAS_ROUTE,8710
2029,IN_CITY,15081
2030,HAS_ROUTE,9180
2031,HAS_ROUTE,8725
2032,IN_REGION,16048
2033,ON_CONTINENT,17248
2034,HAS_ROUTE,8719
2035,HAS_ROUTE,8832
2036,HAS_ROUTE,9105
2037,HAS_ROUTE,10144
2038,HAS_ROUTE,9046
2039,HAS_ROUTE,8875
2040,HAS_ROUTE,9132
2041,HAS_ROUTE,9152
2042,HAS_ROUTE,8729
2043,HAS_ROUTE,8669
2044,HAS_ROUTE,8752
2045,HAS_ROUTE,9982
2046,IN_REGION,16071
2047,IN_REGION,15583
2048,IN_COUNTRY,17113
2049,HAS_ROUTE,8805
2050,HAS_ROUTE,8798
2051,HAS_ROUTE,8749
2052,IN_COUNTRY,17122
2053,ON_CONTINENT,17250
2054,HAS_ROUTE,8804
2055,HAS_ROUTE,8767
2056,HAS_ROUTE,8952
2057,HAS_ROUTE,9860
2058,HAS_ROUTE,9298
2059,ON_CONTINENT,17253
2060,HAS_ROUTE,8752
2061,HAS_ROUTE,10155
2062,IN_COUNTRY,17129
2063,HAS_ROUTE,9854
2064,HAS_ROUTE,8740
2065,HAS_ROUTE,8998
2066,HAS_ROUTE,8972
2067,HAS_ROUTE,10673
2068,IN_CITY,12248
2069,HAS_ROUTE,9856
2070,ON_CONTINENT,17248
2071,HAS_ROUTE,8806
2072,HAS_ROUTE,10029
2073,HAS_ROUTE,8968
2074,IN_REGION,15550
2075,HAS_ROUTE,8856
2076,HAS_ROUTE,8729
2077,ON_CONTINENT,17248
2078,HAS_ROUTE,9111
2079,IN_COUNTRY,17152
2080,IN_CITY,14801
2081,HAS_ROUTE,11274
2082,HAS_ROUTE,9111
2083,HAS_ROUTE,11249
2084,ON_CONTINENT,17250
2085,HAS_ROUTE,9196
2086,HAS_ROUTE,8762
2087,HAS_ROUTE,8799
2088,HAS_ROUTE,8832
2089,HAS_ROUTE,9326
2090,HAS_ROUTE,8956
2091,HAS_ROUTE,9531
2092,HAS_ROUTE,8644
2093,HAS_ROUTE,9367
2094,IN_REGION,15765
2095,HAS_ROUTE,9994
2096,HAS_ROUTE,8627
2097,ON_CONTINENT,17248
2098,IN_REGION,16078
2099,IN_CITY,15052
2100,IN_COUNTRY,17199
2101,IN_COUNTRY,17125
2102,ON_CONTINENT,17248
2103,HAS_ROUTE,11863
2104,HAS_ROUTE,8878
2105,ON_CONTINENT,17251
2106,HAS_ROUTE,8680
2107,ON_CONTINENT,17249
2108,HAS_ROUTE,8686
2109,IN_REGION,15907
2110,ON_CONTINENT,17248
2111,IN_COUNTRY,17080
2112,HAS_ROUTE,10781
2113,HAS_ROUTE,11255
2114,HAS_ROUTE,9059
2115,HAS_ROUTE,10339
2116,HAS_ROUTE,10159
2117,HAS_ROUTE,8647
2118,HAS_ROUTE,9164
2119,IN_REGION,16106
2120,HAS_ROUTE,8856
2121,HAS_ROUTE,8803
2122,HAS_ROUTE,9522
2123,IN_COUNTRY,17040
2124,HAS_ROUTE,10121
2125,HAS_ROUTE,11616
2126,HAS_ROUTE,8631
2127,HAS_ROUTE,10624
2128,IN_COUNTRY,17026
2129,IN_REGION,15490
2130,HAS_ROUTE,9319
2131,ON_CONTINENT,17253
2132,ON_CONTINENT,17248
2133,HAS_ROUTE,8648
2134,IN_COUNTRY,17044
2135,HAS_ROUTE,11259
2136,ON_CONTINENT,17248
2137,HAS_ROUTE,8695
2138,IN_REGION,15515
2139,HAS_ROUTE,8761
2140,HAS_ROUTE,8877
2141,HAS_ROUTE,9554
2142,HAS_ROUTE,8790
2143,ON_CONTINENT,17250
2144,HAS_ROUTE,8634
2145,IN_COUNTRY,17227
2146,IN_COUNTRY,17044
2147,IN_REGION,16059
2148,IN_COUNTRY,17078
2149,HAS_ROUTE,8740
2150,HAS_ROUTE,8672
2151,IN_COUNTRY,17021
2152,ON_CONTINENT,17250
2153,HAS_ROUTE,9426
2154,HAS_ROUTE,8637
2155,HAS_ROUTE,9150
2156,IN_CITY,14785
2157,HAS_ROUTE,8760
2158,IN_COUNTRY,17135
2159,HAS_ROUTE,10110
2160,IN_CITY,15000
2161,HAS_ROUTE,8796
2162,IN_CITY,15444
